transaction_id,farmer_id,buyer_id,produce_id,quantity_kg,price_per_kg,total_value,status,date
T001,F001,B001,P001,400.0,32.0,12800.0,In Transit,2026-09-05
T002,F003,B003,P003,200.0,39.0,7800.0,Completed,2026-09-05
T003,F004,B006,P004,500.0,30.0,15000.0,In Transit,2026-09-06
T004,F001,B001,P001,500.0,32.0,16000.0,In Transit,2026-09-06
T005,F004,B002,P004,600.0,30.0,18000.0,Order Placed,2026-09-06
T006,F001,B001,P001,500.0,32.0,16000.0,In Transit,2026-09-06
T007,F001,B001,P001,500.0,32.0,16000.0,In Transit,2026-09-06
T008,F002,B001,P002,700.0,32.0,22400.0,In Transit,2026-09-06
T009,F001,B002,P007,50.0,30.0,1500.0,Confirmed,2026-09-06
T010,F007,B001,P008,200.0,32.0,6400.0,Confirmed,2026-09-06
T011,F001,B001,P001,500.0,32.0,16000.0,Confirmed,2026-09-06
T012,F005,B003,P005,250.0,40.0,10000.0,Completed,2026-09-07
T013,F007,B006,P011,500.0,30.0,15000.0,Order Placed,2026-09-07
T014,F001,B001,P001,500.0,32.0,16000.0,In Transit,2026-09-07
T015,F001,B006,P001,500.0,30.0,15000.0,Confirmed,2026-09-07
T016,F007,B001,P015,550.0,38.0,20900.0,Confirmed,2026-09-07
