order_id,consumer_id,consumer_name,produce_id,farmer_id,crop,quantity_kg,price_per_kg,total_value,status,date
C001,CUST001,Demo Consumer,P001,F001,Onion,5.0,32.0,160.0,Completed,2026-09-06
C002,CUST001,Demo Consumer,P002,F002,Onion,5.0,31.0,155.0,Order Placed,2026-09-06
C003,CUST001,Demo Consumer,P001,F001,Onion,5.0,32.0,160.0,Delivered,2026-09-07
C004,CUST001,Demo Consumer,P001,F001,Onion,5.0,32.0,160.0,Confirmed,2026-09-07
C005,CUST001,Demo Consumer,P001,F001,Onion,5.0,32.0,160.0,Confirmed,2026-09-07
C006,CUST001,Demo Consumer,P001,F001,Onion,5.0,32.0,160.0,Confirmed,2026-09-07
C007,CUST001,Demo Consumer,P010,F007,Wheat,5.0,100.0,500.0,Order Placed,2026-09-07
C008,CUST001,Demo Consumer,P007,F001,Onion,5.0,30.0,150.0,Confirmed,2026-09-07
C009,CUST001,Demo Consumer,P011,F007,Onion,7.0,30.0,210.0,Order Placed,2026-09-07
C010,CUST001,Demo Consumer,P007,F001,Onion,7.0,30.0,210.0,Confirmed,2026-09-07
