produce_id,farmer_id,crop,quantity_kg,quality_grade,location,district,available_date,expected_price_per_kg,status
P001,F001,Onion,500.0,A,Niphad,Nashik,2026-09-10,32.0,Available
P002,F002,Onion,700.0,A,Lasalgaon,Nashik,2026-09-10,31.0,Available
P003,F003,Tomato,300.0,A,Dindori,Nashik,2026-09-10,38.0,Available
P004,F004,Onion,600.0,B,Rahata,Ahmednagar,2026-09-09,29.0,Available
P005,F005,Tomato,250.0,A,Sangamner,Ahmednagar,2026-09-10,37.0,Available
P006,F006,Onion,800.0,B,Kopargaon,Ahmednagar,2026-09-11,29.0,Available
P007,F001,Onion,50.0,B,Nashik,Nashik,2026-09-06,30.0,Available
P008,F007,Onion,200.0,A,Niphad,Nashik,2026-09-06,30.0,Available
P009,F0010,Onion,400.0,A,Niphad,Nashik,2026-09-06,34.0,Available
P010,F007,Wheat,500.0,A,Ahmednagar,Ahmednagar,2026-09-07,100.0,Available
P011,F007,Onion,500.0,A,Ahmednagar,Ahmednagar,2026-09-07,30.0,Available
P012,F007,Tomato,350.0,B,Ahmednagar,Ahmednagar,2026-09-09,38.0,Available
P013,F007,Onion,550.0,A,Nashik,Nashik,2026-09-07,31.0,Available
P014,F007,Onion,550.0,A,Nashik,Nashik,2026-09-07,34.0,Available
P015,F007,Onion,550.0,A,Nashik,Nashik,2026-09-10,40.0,Available
P016,F001,Onion,500.0,A,Niphad,Nashik,2026-09-08,31.0,Available
